Time,AX,AY,AZ,GX,GY,GZ,Temp,,,,,spped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2614,0.17,9.19,-3.42,-12.15,-13.73,9.54,18.21,,,36,,0.31,20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2650,0.59,9.38,-2.46,-11.16,30.34,9.53,18.22,,,32,,0.33,20.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2682,0.12,10.03,-2.03,-8.98,50.95,9.21,18.23,,,32,,0.30,20.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2714,1.38,9.4,-2.6,-5.94,54.44,7.85,18.23,,,33,,0.32,21.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2747,2.09,9.74,-3.15,-5.91,-8.35,5.37,18.26,,,32,,0.31,21.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2779,0.8,9.48,-3.29,-5.25,-17.28,1.98,18.24,,,32,,0.31,21.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2811,1.44,9.26,-3.76,-4.12,30.44,-2.5,18.22,,,33,,0.30336,21.97671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2844,2.16,9.29,-3.67,-5.3,-2.58,-5.51,18.23,,,32,,0.30558,22.28229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2876,0.53,9.19,-3.49,-5.48,-2.27,-8.64,18.24,,,32,,0.29728,22.57957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2908,1.07,9.71,-2.58,-4.18,19.45,-10.6,18.24,,,32,,0.29408,22.87365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940,0.86,9.4,-2.56,-2.67,2.53,-10.43,18.24,,,33,,0.31072,23.18437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973,0.79,9.24,-2.65,-0.99,15.1,-10.98,18.25,,,35,,0.3102,23.49457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,1.18,9.98,-2.45,0.2,2.85,-10.47,18.23,,,32,,0.3234,23.81797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,0.62,9.44,-2.89,0.84,2.61,-10.32,18.22,,,33,,0.31936,24.13733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3073,0.46,9.28,-3.11,0.9,28.46,-9.02,18.24,,,32,,0.31152,24.44885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,1.05,9.32,-3.28,-0.76,16.7,-7.24,18.22,,,32,,0.29696,24.74581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3137,0.52,9.53,-2.81,-2.4,-3.15,-5.11,18.22,,,33,,0.29824,25.04405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3170,-0.1,9.28,-2.76,-2,32.67,-3.27,18.24,,,32,,0.31449,25.35854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3202,1.78,9.32,-3.1,-2.15,28.18,-1.82,18.25,,,32,,0.29696,25.6555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3234,2.02,9.34,-3.31,-4.61,-37.36,-0.69,18.22,,,32,,0.29824,25.95374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3266,0.01,9.3,-3.44,-6.17,-23.39,0.72,18.24,,,33,,0.29888,26.25262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3299,1.16,9.43,-3.18,-6.66,13.89,1.56,18.24,,,35,,0.3069,26.55952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3334,0.95,9.69,-2.51,-6.35,-13.3,2.14,18.24,,,32,,0.33005,26.88957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3366,-0.51,9.35,-2.64,-4.23,3.74,3.65,18.24,,,33,,0.31008,27.19965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3399,1.38,9.31,-2.76,-1.53,12.99,4.76,18.22,,,32,,0.30855,27.5082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3431,1.28,9.26,-3.32,-1.16,-26.41,5.13,18.24,,,32,,0.29792,27.80612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3463,1.55,9.03,-3.68,-3.6,-37.73,4.76,18.23,,,33,,0.29632,28.10244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3496,-0.22,9.63,-3.17,-6.98,-41.5,4.55,18.23,,,32,,0.29799,28.40043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3528,0.33,9.53,-2,-3.62,37.47,4.14,18.24,,,32,,0.30816,28.70859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3560,0.75,9.53,-2.36,-3.53,22.63,4.47,18.23,,,32,,0.30496,29.01355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3592,0.51,9.19,-2.38,-3.74,11.85,5.1,18.24,,,33,,0.30496,29.31851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3625,0.79,9.25,-2.78,-3.02,-10.84,4.75,18.23,,,32,,0.30327,29.62178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
